temp_candidates,left5,left4,left3,left2,left1,right1,right2,right3,right4,right5,category,sub_category,wtl1,wtr1,wttc,word_length,beginning_or_not,L1_isIN,L1_isComma,L1_isParentheses,R1_isPeriod,R1_isComma,R1_isParentheses,tc_isJJ,tc_Length
cold spring harbor,albert,kelner,while,at,the,laboratories,in,upstate,new,york,T,T,DT,NNS,JJ,18,0,0,0,0,0,0,0,0,3
newham,of,16,",",who,attended,university,hospital,accident,and,emergency,T,T,VBD,NN,NN,6,0,0,0,0,0,0,0,0,1
philadelphia,a,2-day,consensus,conference,in,",",pennsylvania,.,$,$,T,T,IN,",",NN,12,0,1,0,0,0,1,0,0,1
canadian,for,patients,treated,in,a,provincial,trauma,system,(,2005-2010,T,T,DT,NN,NN,8,0,0,0,0,0,0,0,0,1
glasgow,after,experiencing,an,stbi,(,coma,scale,score,<=8,and,F,S,(,NN,NN,7,0,0,0,1,0,0,0,0,1
natick,",",mathworks,inc,.,",",",",ma,),.,$,F,M,",",",",NN,6,0,0,1,0,0,1,0,0,1
glasgow,mri,and,presented,with,a,coma,scale,score,of,8,T,T,DT,NN,NN,7,0,0,0,0,0,0,0,0,1
glasgow,ct,and,mri,and,met,coma,scale,criteria,.,$,F,M,NN,NN,NN,7,0,0,0,0,0,0,0,0,1
glasgow,alert,blunt,trauma,patients,with,coma,scale,(,gcs,),F,M,IN,NN,NN,7,0,1,0,0,0,0,0,0,1
conover,by,the,kruskal-wallis,test,",",-inman,post,hoc,analysis,for,F,M,",",NN,NN,7,0,0,1,0,0,0,0,0,1
martina franca,grigio,siciliano,",",ragusano,and,),.,$,$,$,F,B,CC,),NNS,14,0,0,0,0,0,0,1,0,2
koganei,of,the,genomes,of,the,65-0,.,15,vaccine,strain,F,B,DT,JJ,NN,7,0,0,0,0,0,0,0,0,1
same,^,^,^,^,^,trends,were,observed,for,child,F,G,^,NNS,JJ,4,1,0,0,0,0,0,0,1,1
new york,simulate,violence,and,ptsd,in,city,under,four,scenarios:,(,T,T,IN,NN,JJ,8,0,1,0,0,0,0,0,0,2
nantong,2,diabetic,retinopathy,patients,in,china,and,to,identify,factors,T,T,IN,NN,RB,7,0,1,0,0,0,0,0,0,1
nantong,retinopathy,population,is,higher,in,china,.,$,$,$,T,T,IN,NN,RB,7,0,1,0,0,0,0,0,0,1
nantong,2,diabetic,retinopathy,population,from,.,$,$,$,$,T,T,IN,.,RB,7,0,1,0,0,1,0,0,0,1
damxung,^,^,^,^,(,",",dx,and,zhengdao,",",T,T,(,",",NN,7,0,0,0,1,0,1,0,0,1
spring,and,the,crg,prior,to,2011,and,likely,masked,trans-pacific,F,G,TO,CD,NN,6,0,0,0,0,0,0,0,0,1
canadian,participaction,campaign,was,to,inspire,adults,to,increase,their,physical,F,G,NN,NNS,NN,8,0,0,0,0,0,0,0,0,1
bosomtwe,management,of,malaria,in,the,and,sekyere,east,districts,of,T,T,DT,CC,NN,8,0,0,0,0,0,0,0,0,1
aurora,cytokinesis,and,suggests,function,in,b,kinase-mediated,cytokinesis,checkpoint,.,F,B,IN,NN,NNS,6,0,1,0,0,0,0,0,0,1
baltimore,5,),composition,for,the,",",maryland,metropolitan,area,",",T,T,DT,",",NN,9,0,0,0,0,0,1,0,0,1
baltimore,a,major,industrial,source,in,shut,down,.,$,$,T,T,IN,NN,NN,9,0,1,0,0,0,0,0,0,1
baltimore,^,^,results,obtained,from,were,compared,to,those,from,T,T,IN,VBD,NN,9,0,1,0,0,0,0,0,0,1
auckland,measured,over,44,days,in,",",new,zealand,at,high,T,T,IN,",",NN,8,0,1,0,0,0,1,0,0,1
act,^,^,^,^,^,model,was,designed,to,include,F,G,^,NN,NN,3,1,0,0,0,0,0,0,0,1
act,and,wellness,of,individuals,receiving,services,.,$,$,$,F,G,VBG,NNS,NN,3,0,0,0,0,0,0,0,0,1
magnolia,^,^,^,^,^,was,fermented,by,pediococcus,acidilactici,F,B,^,VBD,NNS,8,1,0,0,0,0,0,0,0,1
brisbane,environmental,water,samples,collected,in,",",of,which,7%,and,T,T,IN,",",NN,8,0,1,0,0,0,1,0,0,1
daegu,who,underwent,colonoscopies,at,the,catholic,university,medical,center,from,T,T,DT,NN,NN,5,0,0,0,0,0,0,0,0,1
aberdeen,3000,randomly,selected,citizens,of,city,and,shire,",",scotland,T,T,IN,NN,NN,8,0,1,0,0,0,0,0,0,1
aberdeen,primary,health,care,clinic,in,suggests,that,this,canadian,model,T,T,IN,NNS,NN,8,0,1,0,0,0,0,0,0,1
balochistan,anc,),utilization,in,rural,",",toward,framing,a,policy,T,T,JJ,",",NN,11,0,0,0,0,0,1,0,0,1
lyon,20c,aux,;,biomerieux,",",",",france,),.,$,T,T,",",",",NN,4,0,0,1,0,0,1,0,0,1
karachi,stenosis,admitted,in,civil,hospital,.,it,was,a,two,T,T,NN,.,NNS,7,0,0,0,0,1,0,0,0,1
karachi,thalassemia,clinic,in,civil,hospital,.,this,prospective,study,was,T,T,NN,.,NNS,7,0,0,0,0,1,0,0,0,1
lahore,a,tertiary,care,hospital,in,and,ascertain,its,co-relation,with,T,T,IN,CC,NN,6,0,1,0,0,0,0,0,0,1
kayseri,",",faculty,of,medicine,(,",",turkey,),and,then,T,T,(,",",NN,7,0,0,0,1,0,1,0,0,1
kayseri,center,of,erciyes,university,and,education,and,research,hospital,in,F,B,CC,NN,NN,7,0,0,0,0,0,0,0,0,1
gland,were,similar,regarding,the,meibomian,dysfunction,(,mgd,),and,T,T,NN,NN,NN,5,0,0,0,0,0,0,0,0,1
malatya,primary,care,health,workers,in,in,turkey,.,the,sample,T,T,IN,IN,NN,7,0,1,0,0,0,0,0,0,1
tigre,^,^,from,galeon,",",",",and,kilopondio,cultivars,successfully,T,T,",",",",NN,5,0,0,1,0,0,1,0,0,1
tigre,^,^,^,^,",",ovaries,raised,the,percentage,of,T,T,",",NNS,NN,5,0,0,1,0,0,0,0,0,1
mccleary,as,in,spoken,interaction,(,and,leite,",",2013,),F,M,(,CC,NN,8,0,0,0,1,0,0,0,0,1
toronto,^,healthy,individuals,completed,the,alexithymia,scale,and,underwent,the,T,T,DT,NN,NN,7,0,0,0,0,0,0,0,0,1
jeddah,",",which,were,collected,from,region,",",saudi,arabia,for,F,B,IN,NN,NN,6,0,1,0,0,0,0,0,0,1
shiga,^,^,^,^,^,toxin-producing,escherichia,coli,(,stec,T,T,^,NN,NN,5,1,0,0,0,0,0,0,0,1
riyadh,and,milk,samples,collected,from,",",saudi,arabia,.,$,T,T,IN,",",NN,6,0,1,0,0,0,1,0,0,1
riyadh,from,different,abattoirs,located,in,",",saudi,arabia,.,$,F,B,IN,",",NN,6,0,1,0,0,0,1,0,0,1
shiga,^,^,^,^,^,toxin2,was,detected,in,58,T,T,^,NN,NN,5,1,0,0,0,0,0,0,0,1
hamadan,of,3,educational,hospitals,of,city,",",iran,in,2011,T,T,IN,NN,NN,7,0,1,0,0,0,0,0,0,1
hamadan,and,subsequent,drug,resistance,in,area,",",iran,.,$,T,T,IN,NN,NN,7,0,1,0,0,0,0,0,0,1
bologna,conforms,to,the,current,european,system,of,academic,training,.,F,M,JJ,NN,NN,7,0,0,0,0,0,0,0,0,1
chiba,we,enrolled,200,outpatients,at,university,hospital,.,$,$,T,T,IN,NN,NN,5,0,1,0,0,0,0,0,0,1
stanford,^,effusion,may,complicate,acute,type,b,aortic,dissection,(,F,B,NN,NN,NN,8,0,0,0,0,0,0,0,0,1
yamaguchi,facility,",",she,fulfilled,the,criteria,for,aosd,and,had,F,S,DT,NNS,NNS,9,0,0,0,0,0,0,0,0,1
dallas,cancer,incidence,in,the,multiethnic,heart,study,(,dhs,),F,S,NN,NN,NNS,6,0,0,0,0,0,0,0,0,1
valencia,insulin,",",mannkind,corporation,",",",",ca,),is,a,T,T,",",",",NN,8,0,0,1,0,0,1,0,0,1
ube,monoub,),by,the,e2,2w,.,$,$,$,F,B,NN,CD,NN,3,0,0,0,0,0,0,0,0,1
ube,substrate,for,the,heterodimeric,e2,2n/ube2v2,",",resulting,in,trim21-anchored,F,B,NN,CD,NN,3,0,0,0,0,0,0,0,0,1
framingham,compared,with,variables,in,the,secondary,events,model,",",the,F,M,DT,JJ,NN,10,0,0,0,0,0,0,0,0,1
cocoa,^,^,^,^,^,pulp,fermentation,is,a,spontaneous,F,F,^,NN,NN,5,1,0,0,0,0,0,0,0,1
tampere,who,had,been,treated,in,university,hospital,",",finland,",",T,T,IN,NN,RB,7,0,1,0,0,0,0,0,0,1
worcester,conducted,for,this,population,in,",",ma,.,$,$,T,T,IN,",",NN,9,0,1,0,0,0,1,0,0,1
edinburgh,self-reported,depressive,symptoms,using,the,postnatal,depression,scale,.,$,F,S,DT,NN,NN,9,0,0,0,0,0,0,0,0,1
docking,^,^,^,^,^,analysis,confirmed,that,cardamonin,molecule,F,M,^,NN,VBG,7,1,0,0,0,0,0,0,0,1
hefei,biotechnology,and,food,engineering,",",university,of,technology,",",hefei,T,T,",",NN,NN,5,0,0,1,0,0,0,0,0,1
on,the,recent,and,growing,promoti,of,local,foods,by,public,T,T,NN,IN,IN,2,0,0,0,0,0,0,0,0,1
shanghai,huangpu,or,yangtze,river,in,",",were,investigated,",",and,T,T,IN,",",NN,8,0,1,0,0,0,1,0,0,1
ramnicu valcea,industrial,platform,in,romania,(,industrial,area,),was,characterized,T,T,(,JJ,NN,14,0,0,0,1,0,0,0,0,2
ionesti,for,olt,river,",",at,site,",",in,november,2012,T,T,IN,NN,NN,7,0,1,0,0,0,0,0,0,1
honghu,),was,studied,in,the,lake,and,east,dongting,lake,T,T,DT,NN,NN,6,0,0,0,0,0,0,0,0,1
honghu,-1,),dw,),of,lake,were,significantly,higher,than,T,T,IN,NN,NN,6,0,1,0,0,0,0,0,0,1
lake,edcs,in,outlet,of,honghu,were,comparable,to,those,in,F,G,NN,VBD,NN,4,0,0,0,0,0,0,0,0,1
honghu,^,^,^,edcs,in,lake,and,east,dongting,lake,T,T,IN,NN,NN,6,0,1,0,0,0,0,0,0,1
buffalo,carried,out,on,75,adult,rats,subjected,to,running,exercise,F,A,NN,NNS,NN,7,0,0,0,0,0,0,0,0,1
nsw,was,greatly,improved,by,adding,.,$,$,$,$,F,M,VBG,.,NN,3,0,0,0,0,1,0,0,0,1
nsw,in,treatment,with,24g/l,of,was,1,.,74-1,.,F,M,IN,VBD,NN,3,0,1,0,0,0,0,0,0,1
nsw,conventional,treatment,system,without,added,",",the,iron,oxyhydroxysulfate,minerals,F,M,VBD,",",NN,3,0,0,0,0,0,1,0,0,1
nsw,^,^,^,^,from,",",jarosite,and,schwertmannite,were,F,M,IN,",",NN,3,0,1,0,0,0,1,0,0,1
abisko,in,a,bryophyte-dominated,peatland,in,",",sweden,.,$,$,T,T,IN,",",NN,6,0,1,0,0,0,1,0,0,1
abisko,^,^,^,^,the,peatland,having,greater,ecosystem,respiration,T,T,DT,NN,NN,6,0,0,0,0,0,0,0,0,1
mirebalais,charge,at,hopital,universitaire,de,(,hum,),in,haiti,T,T,NNS,(,NN,10,0,0,0,0,0,0,0,0,1
dourados,located,in,the,municipality,of,",",in,the,state,of,T,T,IN,",",NN,8,0,1,0,0,0,1,0,0,1
stains,of,sds,using,the,dye,-all,is,known,.,$,F,G,NN,NN,NNS,6,0,0,0,0,0,0,0,0,1
bologna,to,august,2013,within,the,local,health,authority,(,870,T,T,DT,JJ,NN,7,0,0,0,0,0,0,0,0,1
newcastle,^,^,^,used,the,-ottawa,scale,to,assess,the,F,S,DT,NN,NN,9,0,0,0,0,0,0,0,0,1
natick,patch,",",boston,scientific,",",",",ma,",",usa,),T,T,",",",",NN,6,0,0,1,0,0,1,0,0,1
siena,ectasia,underwent,cxl,following,the,protocol,.,$,$,$,F,M,DT,NN,NN,5,0,0,0,0,0,0,0,0,1
harbin,river,in,the,city,of,",",china,.,$,$,T,T,IN,",",NN,6,0,1,0,0,0,1,0,0,1
wellington,department,(,ed,),of,hospital,and,hutt,hospital,",",T,T,IN,NN,NN,10,0,1,0,0,0,0,0,0,1
wellington,of,the,patients,presenting,to,hospital,ed,with,a,seizure,T,T,TO,NN,NN,10,0,0,0,0,0,0,0,0,1
wellington,was,63,.,1%,for,hospital,and,9,.,8%,T,T,IN,NN,NN,10,0,1,0,0,0,0,0,0,1
wellington,adult,seizure,patients,across,the,region,",",for,patients,with,T,T,DT,NN,NN,10,0,0,0,0,0,0,0,0,1
taranaki,of,its,use,of,in,",",along,with,attempting,to,T,T,IN,",",NN,8,0,1,0,0,0,1,0,0,1
odisha,origin,in,24,villages,in,",",india,.,$,$,T,T,IN,",",NN,6,0,1,0,0,0,1,0,0,1
khabarovsk,anopheles,species,in,primorsk,and,regions,of,russia,.,$,T,T,CC,NNS,NN,10,0,0,0,0,0,0,0,0,1
shuyang,extended,family,were,reported,at,county,",",jiangsu,province,",",T,T,IN,NN,NN,7,0,1,0,0,0,0,0,0,1
dhaka,of,the,icddr,",",b,hospital,to,identify,children&lt,;,T,T,NN,NN,NN,5,0,0,0,0,0,0,0,0,1
bagamoyo,the,hands,of,mothers,in,",",tanzania,",",during,the,T,T,IN,",",NN,8,0,1,0,0,0,1,0,0,1
savannakhet,229,patients,without,malaria,in,province,",",southern,laos,;,T,T,IN,NN,NN,11,0,1,0,0,0,0,0,0,1
wuhan,",",lake,moshui,",",in,",",china,",",to,examine,T,T,IN,",",NN,5,0,1,0,0,0,1,0,0,1
basin,the,aridity,in,the,mediterranean,and,severely,affect,forest,productivity,F,G,NN,CC,NN,5,0,0,0,0,0,0,0,0,1
rize,),;,steinernema,carpocapsae,(,isolate,),was,used,in,F,B,(,NN,VB,4,0,0,0,1,0,0,0,0,1
littoral,palmiers,health,district,in,the,region,of,cameroon,.,$,T,T,DT,NN,JJ,8,0,0,0,0,0,0,0,1,1
oslo,questionnaire,on,health,",",the,health,study,",",which,was,F,S,DT,NN,NN,4,0,0,0,0,0,0,0,0,1
ube,the,interaction,between,fancl,and,2t,",",and,is,not,F,B,CC,CD,NN,3,0,0,0,0,0,0,0,0,1
brooklyn,networks,at,temple,university,and,college,at,cuny,(,the,T,T,CC,NN,NN,8,0,0,0,0,0,0,0,0,1
hirosaki,but,extensive,tur,protocol,at,university,hospital,between,january,2005,T,T,IN,NN,NN,8,0,1,0,0,0,0,0,0,1
zhuhai,cross-sectional,study,was,conducted,in,city,june-october,2012,.,$,T,T,IN,NN,NN,6,0,1,0,0,0,0,0,0,1
canadian,the,perspectives,of,graduates,of,core,fellowship,programs,in,pediatric,F,G,IN,NN,NN,8,0,1,0,0,0,0,0,0,1
phnom penh,on,a,5-year-old,girl,in,",",cambodia,.,$,$,T,T,IN,",",NN,10,0,1,0,0,0,1,0,0,2
mwanza,onto,whatman,903,cards,in,",",tanzania,",",and,the,T,T,IN,",",NN,6,0,1,0,0,0,1,0,0,1
pittsburgh,schizoaffective,disorder,were,identified,in,",",usa,.,$,$,T,T,IN,",",NN,10,0,1,0,0,0,1,0,0,1
paris,^,^,^,^,the,colloquium,held,forty,years,ago,F,C,DT,NN,NN,5,0,0,0,0,0,0,0,0,1
madrid,",",which,was,held,in,the,following,year,.,$,T,T,IN,DT,NN,6,0,1,0,0,0,0,0,0,1
rochester,.,lqts,patients,from,the,-based,lqts,registry,(,open-enrollment,F,D,DT,VBN,NN,9,0,0,0,0,0,0,0,0,1
framingham,blood,lipid,metabolism,markers,and,risk,scores,(,frs,),F,S,CC,NN,NN,10,0,0,0,0,0,0,0,0,1
aveiro,estuarine,system,(,ria,de,",",portugal,),.,$,T,T,NNS,",",NN,6,0,0,0,0,0,1,0,0,1
trier,acute,psychosocial,stress,task,(,social,stress,test,),or,F,M,(,JJ,NN,5,0,0,0,1,0,0,0,0,1
on,development,of,the,public,health,tario,(,pho,),risk,T,T,NN,NN,IN,2,0,0,0,0,0,0,0,0,1
oswestry,),",",and,the,mean,disability,index,improved,from,56,F,S,NN,NN,NN,8,0,0,0,0,0,0,0,0,1
shiga,^,^,^,^,^,toxin,family,comprises,toxins,belonging,F,D,^,NN,NN,5,1,0,0,0,0,0,0,0,1
shiga,of,rstxa,and,lysate,of,toxin,.,$,$,$,F,D,IN,NN,NN,5,0,1,0,0,0,0,0,0,1
erp,^,experimental,results,suggested,that,and,pdelta,form,a,p24,F,B,IN,CC,NN,3,0,1,0,0,0,0,0,0,1
surat,^,^,^,^,",",",",bilaspur,and,betul,formed,T,T,",",",",NN,5,0,0,1,0,0,1,0,0,1
ab,),gained,for,cardiac,reh,ilitation,varies,by,subgroup,",",T,T,NN,NN,NN,2,0,0,0,0,0,0,0,0,1
canadian,adoption,that,worked,in,the,and,united,states,context,.,F,G,DT,CC,NN,8,0,0,0,0,0,0,0,0,1
los angeles,sexual,identity,and,homelessness,among,unified,school,district,middle,school,T,T,IN,JJ,NN,11,0,1,0,0,0,0,0,0,2
philadelphia,youth,risk,behavior,survey,in,",",a,random,sample,of,T,T,IN,",",NN,12,0,1,0,0,0,1,0,0,1
jeddah,sample,of,youth,residing,in,",",saudi,arabia,(,n,T,T,IN,",",NN,6,0,1,0,0,0,1,0,0,1
fukushima,into,korean,peninsula,during,the,dai-ichi,nuclear,accident,.,$,T,T,DT,NN,NN,9,0,0,0,0,0,0,0,0,1
beijing,patients,who,were,treated,in,gynecology,and,obstetrics,hospital,from,T,T,IN,NN,NN,7,0,1,0,0,0,0,0,0,1
darby,(,ece,),and,madin-,canine,kidney,epithelial,cell,systems,F,B,NN,NN,NN,5,0,0,0,0,0,0,0,0,1
stanford,in,hospitalist,telemetry,utilization,.,hospital,",",a,444-bed,",",T,T,.,NN,NN,8,0,0,0,0,0,0,0,0,1
ikeja,lagos,state,university,teaching,hospital,",",nigeria,.,consecutive,non-repetitive,T,T,NN,",",NN,5,0,0,0,0,0,1,0,0,1
dalton,shi,et,al,.,",",trans,.,",",2015,",",F,R,",",NNS,NN,6,0,0,1,0,0,0,0,0,1
salzburg,^,^,^,^,^,consensus,criteria,for,ncse,[1],F,S,^,NN,NN,8,1,0,0,0,0,0,0,0,1
new york,across,the,five,boroughs,of,city,to,characterize,resident,perceptions,T,T,IN,NN,JJ,8,0,1,0,0,0,0,0,0,2
boston,three,tertiary,care,centers,in,.,$,$,$,$,T,T,IN,.,NN,6,0,1,0,0,1,0,0,0,1
perth,children,with,autism,cohort,in,",",western,australia,.,$,T,T,IN,",",NN,5,0,1,0,0,0,1,0,0,1
vancouver,646,female,sex,workers,in,",",canada,(,2010-2012,),T,T,IN,",",NN,9,0,1,0,0,0,1,0,0,1
glasgow,782,patients,with,mhi,(,coma,scale,score,13-15,),F,S,(,NN,NN,7,0,0,0,1,0,0,0,0,1
glasgow,per,cent,),had,a,coma,scale,score,below,8,F,S,DT,NN,NN,7,0,0,0,0,0,0,0,0,1
san francisco,primary,care,clinic,in,the,bay,area,.,patients,were,T,T,DT,NN,JJ,13,0,0,0,0,0,0,0,0,2
iron mountain,methylome,for,the,inbred,line,62,(,im62,),.,F,B,NN,CD,NN,13,0,0,0,0,0,0,0,0,2
madison,idxatm,;,ge,healthcare,",",",",wi,),was,acquired,T,T,",",",",NN,7,0,0,1,0,0,1,0,0,1
beijing,influenza,virus,rna,detection,in,chao-yang,hospital,during,the,2009-2014,T,T,IN,NN,NN,7,0,1,0,0,0,0,0,0,1
basin,been,conducted,at,buyuk,menderes,which,is,located,in,southwest,F,W,NNS,WDT,NN,5,0,0,0,0,0,0,0,0,1
brisbane,childcare,centres,or,playgroups,in,",",australia,.,many,parents,T,T,IN,",",NN,8,0,1,0,0,0,1,0,0,1
ab,alberta,perinatal,health,program,dat,ase,were,linked,to,health,F,D,NN,NN,NN,2,0,0,0,0,0,0,0,0,1
concord,composition,system,;,lmi,",",",",california,),were,performed,T,T,",",",",NN,7,0,0,1,0,0,1,0,0,1
minab,distribution,of,malaria,vectors,in,county,",",one,of,the,T,T,IN,NN,NN,5,0,1,0,0,0,0,0,0,1
beijing,cancer,were,randomly,chosen,in,",",china,.,$,$,T,T,IN,",",NN,7,0,1,0,0,0,1,0,0,1
khartoum,from,the,radiation,isotopes,center,(,rick,),compared,to,F,B,NN,(,NN,8,0,0,0,0,0,0,0,0,1
fano,gold,ring,gives,rise,to,type,resonances,and,enables,ultrasensitive,F,B,TO,NN,NN,4,0,0,0,0,0,0,0,0,1
harare,from,government-administered,secondary,schools,in,",",zimbabwe,.,parental,and,T,T,IN,",",NN,6,0,1,0,0,0,1,0,0,1
fort worth,shale,hydraulic,fracturing,region,near,",",texas,.,$,$,T,T,IN,",",NN,10,0,1,0,0,0,1,0,0,2
allen,lower,than,those,reported,by,et,al,.,$,$,F,P,IN,NN,NN,5,0,1,0,0,0,0,0,0,1
allen,half,of,values,reported,by,et,al,.,$,$,F,P,IN,NN,NN,5,0,1,0,0,0,0,0,0,1
ziyang,in,2000,in,huarong,",",",",and,anxiang,counties,of,T,T,",",",",NN,6,0,0,1,0,0,1,0,0,1
mulago,attending,the,antenatal,clinic,at,national,referral,hospital,.,upon,T,T,IN,JJ,NN,6,0,1,0,0,0,0,0,0,1
mulago,general,antenatal,clinic,at,the,national,referral,hospital,.,of,T,T,DT,JJ,NN,6,0,0,0,0,0,0,0,0,1
gaborone,members,each,were,conducted,in,",",the,capital,city,of,T,T,IN,",",NN,8,0,1,0,0,0,1,0,0,1
framingham,0,.,026,),",",10-year,risk,score,(,p&lt,F,S,",",JJ,NN,10,0,0,1,0,0,0,0,0,1
hasselt,pfo,closure,at,jessa,hospital,between,april,2002,and,february,T,T,NN,IN,NN,7,0,0,0,0,0,0,0,0,1
pickering,the,interface,of,an,o/w,emulsion,.,$,$,$,F,B,NN,NN,VBG,9,0,0,0,0,0,0,0,0,1
branson,and,then,to,the,pauling-corey-,model,of,the,alpha-helix,.,F,M,NN,NN,NN,7,0,0,0,0,0,0,0,0,1
toronto,cancer,centre,",",both,in,",",ontario,",",canada,.,T,T,IN,",",NN,7,0,1,0,0,0,1,0,0,1
ontario,four,pediatric,health,centers,in,",",canada,.,.,15,T,T,IN,",",NN,7,0,1,0,0,0,1,0,0,1
boston,the,dana-farber,cancer,institute,in,",",ma,.,.,30,T,T,IN,",",NN,6,0,1,0,0,0,1,0,0,1
montreal,hospital,cancer,care,center,in,",",quebec,",",canada,.,T,T,IN,",",NN,8,0,1,0,0,0,1,0,0,1
chaco,",",fuegian,",",panamanian,",",and,yanomama,populations,.,$,T,T,",",CC,NN,5,0,0,1,0,0,0,0,0,1
